timestamp,tower_id,fault_type,severity
2025-01-09 12:00:00,TWR002,Signal Drop,High
2025-01-03 15:00:00,TWR001,Power Failure,Medium
2025-01-09 02:00:00,TWR003,Power Failure,Medium
2025-01-05 12:00:00,TWR003,Signal Drop,High
2025-01-21 13:00:00,TWR001,Hardware Fault,Medium
2025-01-05 20:00:00,TWR003,Power Failure,Low
2025-01-07 22:00:00,TWR002,Power Failure,Medium
2025-01-13 14:00:00,TWR002,Signal Drop,High
2025-01-01 20:00:00,TWR002,Power Failure,Medium
2025-01-14 09:00:00,TWR002,Signal Drop,Medium
2025-01-10 13:00:00,TWR003,Hardware Fault,Medium
2025-01-03 09:00:00,TWR001,Hardware Fault,Low
2025-01-12 00:00:00,TWR002,Power Failure,Medium
2025-01-18 05:00:00,TWR003,Hardware Fault,Medium
2025-01-20 08:00:00,TWR001,Signal Drop,High
2025-01-09 06:00:00,TWR002,Signal Drop,Medium
2025-01-17 20:00:00,TWR001,Power Failure,Medium
2025-01-11 16:00:00,TWR002,Power Failure,Low
2025-01-03 23:00:00,TWR003,Signal Drop,High
2025-01-16 02:00:00,TWR001,Signal Drop,Medium
2025-01-12 01:00:00,TWR003,Power Failure,Medium
2025-01-21 11:00:00,TWR003,Hardware Fault,Medium
2025-01-20 17:00:00,TWR002,Hardware Fault,Medium
2025-01-12 02:00:00,TWR001,Signal Drop,Medium
2025-01-11 03:00:00,TWR001,Power Failure,High
2025-01-03 08:00:00,TWR002,Hardware Fault,High
2025-01-05 14:00:00,TWR001,Power Failure,Medium
2025-01-14 12:00:00,TWR001,Signal Drop,Medium
2025-01-11 17:00:00,TWR003,Hardware Fault,Medium
2025-01-16 12:00:00,TWR001,Hardware Fault,Medium
2025-01-01 03:00:00,TWR002,Signal Drop,High
2025-01-19 07:00:00,TWR002,Power Failure,High
2025-01-09 23:00:00,TWR002,Power Failure,Medium
2025-01-10 15:00:00,TWR002,Signal Drop,Low
2025-01-16 04:00:00,TWR001,Signal Drop,Low
2025-01-05 21:00:00,TWR001,Hardware Fault,High
2025-01-08 22:00:00,TWR003,Power Failure,High
2025-01-13 22:00:00,TWR003,Power Failure,Medium
2025-01-10 02:00:00,TWR002,Hardware Fault,Low
2025-01-17 05:00:00,TWR003,Signal Drop,High
2025-01-07 17:00:00,TWR002,Signal Drop,High
2025-01-01 20:00:00,TWR002,Hardware Fault,High
2025-01-04 06:00:00,TWR003,Signal Drop,Medium
2025-01-16 22:00:00,TWR002,Hardware Fault,Medium
2025-01-15 12:00:00,TWR001,Signal Drop,Medium
2025-01-20 13:00:00,TWR002,Hardware Fault,Medium
2025-01-12 08:00:00,TWR003,Power Failure,Low
2025-01-20 04:00:00,TWR001,Signal Drop,Medium
2025-01-04 08:00:00,TWR001,Signal Drop,Medium
2025-01-14 06:00:00,TWR002,Power Failure,Low
2025-01-07 02:00:00,TWR002,Signal Drop,High
2025-01-02 17:00:00,TWR001,Power Failure,Medium
2025-01-21 00:00:00,TWR003,Power Failure,Medium
2025-01-19 03:00:00,TWR003,Signal Drop,Medium
2025-01-16 16:00:00,TWR001,Signal Drop,Medium
2025-01-15 18:00:00,TWR003,Hardware Fault,Low
2025-01-17 00:00:00,TWR003,Power Failure,High
2025-01-05 03:00:00,TWR003,Power Failure,Low
2025-01-10 15:00:00,TWR002,Signal Drop,High
2025-01-11 07:00:00,TWR002,Power Failure,Medium
2025-01-09 01:00:00,TWR003,Power Failure,High
2025-01-12 09:00:00,TWR003,Power Failure,Medium
2025-01-09 16:00:00,TWR001,Power Failure,High
2025-01-10 05:00:00,TWR003,Signal Drop,Low
2025-01-09 22:00:00,TWR003,Signal Drop,Medium
2025-01-01 17:00:00,TWR003,Hardware Fault,Low
2025-01-16 05:00:00,TWR001,Signal Drop,High
2025-01-21 19:00:00,TWR002,Hardware Fault,Low
2025-01-04 08:00:00,TWR001,Signal Drop,Low
2025-01-05 01:00:00,TWR003,Power Failure,Low
2025-01-07 07:00:00,TWR003,Power Failure,Medium
2025-01-01 21:00:00,TWR002,Power Failure,High
2025-01-16 09:00:00,TWR001,Power Failure,Low
2025-01-04 05:00:00,TWR002,Signal Drop,High
2025-01-11 11:00:00,TWR002,Hardware Fault,Low
2025-01-09 23:00:00,TWR002,Hardware Fault,Low
2025-01-16 01:00:00,TWR001,Hardware Fault,Low
2025-01-21 10:00:00,TWR002,Signal Drop,Medium
2025-01-16 09:00:00,TWR002,Hardware Fault,High
2025-01-03 15:00:00,TWR001,Hardware Fault,Low
2025-01-08 21:00:00,TWR003,Hardware Fault,High
2025-01-09 22:00:00,TWR001,Power Failure,High
2025-01-18 14:00:00,TWR001,Hardware Fault,Low
2025-01-12 11:00:00,TWR003,Power Failure,Medium
2025-01-10 06:00:00,TWR003,Signal Drop,Low
2025-01-17 13:00:00,TWR002,Signal Drop,Medium
2025-01-02 10:00:00,TWR003,Hardware Fault,High
2025-01-11 09:00:00,TWR002,Power Failure,Medium
2025-01-12 10:00:00,TWR001,Hardware Fault,High
2025-01-15 23:00:00,TWR003,Power Failure,Low
2025-01-16 18:00:00,TWR002,Hardware Fault,Low
2025-01-19 05:00:00,TWR003,Hardware Fault,Medium
2025-01-12 05:00:00,TWR002,Hardware Fault,Low
2025-01-19 01:00:00,TWR003,Signal Drop,High
2025-01-10 04:00:00,TWR002,Hardware Fault,High
2025-01-05 19:00:00,TWR001,Power Failure,Medium
2025-01-05 23:00:00,TWR001,Hardware Fault,Low
2025-01-09 04:00:00,TWR002,Hardware Fault,Medium
2025-01-13 06:00:00,TWR003,Hardware Fault,High
2025-01-02 01:00:00,TWR003,Power Failure,High
2025-01-12 12:00:00,TWR003,Signal Drop,Medium
2025-01-20 19:00:00,TWR001,Hardware Fault,High
2025-01-02 01:00:00,TWR001,Signal Drop,Low
2025-01-10 01:00:00,TWR001,Signal Drop,Low
2025-01-11 16:00:00,TWR003,Power Failure,Low
2025-01-12 21:00:00,TWR002,Signal Drop,Medium
2025-01-04 21:00:00,TWR002,Signal Drop,High
2025-01-20 18:00:00,TWR003,Power Failure,Low
2025-01-14 03:00:00,TWR002,Hardware Fault,Low
2025-01-17 07:00:00,TWR003,Power Failure,Low
2025-01-20 13:00:00,TWR001,Signal Drop,Low
2025-01-13 23:00:00,TWR001,Hardware Fault,Low
2025-01-13 03:00:00,TWR003,Power Failure,Low
2025-01-15 08:00:00,TWR002,Power Failure,High
2025-01-05 04:00:00,TWR003,Signal Drop,Medium
2025-01-17 15:00:00,TWR001,Power Failure,Low
2025-01-05 08:00:00,TWR002,Hardware Fault,Low
2025-01-12 02:00:00,TWR002,Signal Drop,Medium
2025-01-17 02:00:00,TWR001,Signal Drop,High
2025-01-01 09:00:00,TWR002,Hardware Fault,Medium
2025-01-14 09:00:00,TWR002,Power Failure,Low
2025-01-21 07:00:00,TWR003,Power Failure,Medium
2025-01-12 04:00:00,TWR003,Hardware Fault,Medium
2025-01-17 13:00:00,TWR001,Hardware Fault,High
2025-01-10 11:00:00,TWR001,Signal Drop,High
2025-01-06 13:00:00,TWR003,Power Failure,High
2025-01-03 07:00:00,TWR002,Power Failure,Medium
2025-01-17 18:00:00,TWR002,Hardware Fault,Low
2025-01-08 13:00:00,TWR003,Signal Drop,Medium
2025-01-18 01:00:00,TWR001,Power Failure,Medium
2025-01-08 05:00:00,TWR001,Power Failure,Low
2025-01-16 17:00:00,TWR003,Signal Drop,High
2025-01-19 18:00:00,TWR002,Hardware Fault,High
2025-01-03 02:00:00,TWR003,Signal Drop,Medium
2025-01-01 18:00:00,TWR002,Hardware Fault,Low
2025-01-06 16:00:00,TWR001,Power Failure,Medium
2025-01-02 05:00:00,TWR001,Power Failure,High
2025-01-12 11:00:00,TWR002,Power Failure,Low
2025-01-12 12:00:00,TWR001,Power Failure,Medium
2025-01-05 11:00:00,TWR002,Signal Drop,Low
2025-01-08 15:00:00,TWR001,Hardware Fault,Low
2025-01-09 05:00:00,TWR001,Hardware Fault,Medium
2025-01-14 05:00:00,TWR003,Signal Drop,Low
2025-01-07 23:00:00,TWR003,Signal Drop,High
2025-01-02 16:00:00,TWR003,Power Failure,Low
2025-01-13 05:00:00,TWR003,Signal Drop,Medium
2025-01-04 21:00:00,TWR003,Hardware Fault,Medium
2025-01-16 15:00:00,TWR002,Power Failure,Medium
2025-01-03 17:00:00,TWR001,Hardware Fault,Low
2025-01-05 06:00:00,TWR001,Power Failure,Low
2025-01-08 00:00:00,TWR003,Hardware Fault,Low
2025-01-08 23:00:00,TWR001,Hardware Fault,Medium
2025-01-11 10:00:00,TWR002,Signal Drop,High
2025-01-04 19:00:00,TWR002,Signal Drop,High
2025-01-06 05:00:00,TWR002,Signal Drop,Medium
2025-01-21 16:00:00,TWR003,Signal Drop,High
2025-01-16 02:00:00,TWR002,Power Failure,Medium
2025-01-06 12:00:00,TWR002,Signal Drop,Medium
2025-01-07 15:00:00,TWR002,Hardware Fault,Low
2025-01-04 19:00:00,TWR002,Power Failure,Medium
2025-01-09 08:00:00,TWR002,Power Failure,Low
2025-01-09 16:00:00,TWR003,Hardware Fault,Medium
2025-01-21 03:00:00,TWR001,Power Failure,Medium
2025-01-20 11:00:00,TWR002,Signal Drop,High
2025-01-03 19:00:00,TWR001,Hardware Fault,Medium
2025-01-03 01:00:00,TWR002,Power Failure,Medium
2025-01-02 19:00:00,TWR002,Power Failure,Medium
2025-01-13 12:00:00,TWR001,Hardware Fault,Medium
2025-01-01 08:00:00,TWR002,Hardware Fault,Low
2025-01-08 20:00:00,TWR001,Signal Drop,High
2025-01-04 21:00:00,TWR002,Signal Drop,High
2025-01-03 18:00:00,TWR001,Power Failure,Low
2025-01-02 09:00:00,TWR001,Hardware Fault,High
2025-01-17 07:00:00,TWR001,Power Failure,Medium
2025-01-09 19:00:00,TWR002,Signal Drop,Low
2025-01-08 14:00:00,TWR001,Hardware Fault,Low
2025-01-09 08:00:00,TWR001,Hardware Fault,High
2025-01-18 18:00:00,TWR003,Signal Drop,Medium
2025-01-01 05:00:00,TWR001,Power Failure,High
2025-01-13 23:00:00,TWR002,Hardware Fault,Medium
2025-01-12 22:00:00,TWR001,Hardware Fault,High
2025-01-15 09:00:00,TWR002,Power Failure,Low
2025-01-20 03:00:00,TWR002,Power Failure,Medium
2025-01-02 14:00:00,TWR003,Power Failure,Medium
2025-01-05 14:00:00,TWR002,Signal Drop,Medium
2025-01-08 11:00:00,TWR003,Hardware Fault,Medium
2025-01-03 05:00:00,TWR001,Hardware Fault,Medium
2025-01-20 20:00:00,TWR001,Hardware Fault,Low
2025-01-12 09:00:00,TWR001,Power Failure,Low
2025-01-04 13:00:00,TWR003,Hardware Fault,Medium
2025-01-11 23:00:00,TWR001,Signal Drop,Medium
2025-01-06 10:00:00,TWR002,Hardware Fault,Low
2025-01-21 10:00:00,TWR002,Power Failure,Medium
2025-01-02 05:00:00,TWR002,Signal Drop,High
2025-01-06 05:00:00,TWR002,Hardware Fault,High
2025-01-12 22:00:00,TWR001,Power Failure,High
2025-01-10 06:00:00,TWR003,Signal Drop,Low
2025-01-15 03:00:00,TWR002,Hardware Fault,Medium
2025-01-15 10:00:00,TWR003,Power Failure,High
2025-01-03 02:00:00,TWR002,Hardware Fault,Low
